Experimento,tamanho_json,tempo_resposta
1,1,24
2,1,25
3,1,14
4,1,36
5,1,24
6,1,42
7,1,29
8,1,14
9,1,21
10,1,48
11,1,13
12,1,8
13,1,15
14,1,13
15,1,22
16,1,15
17,1,10
18,1,14
19,1,59
20,1,14
21,1,16
22,1,11
23,1,11
24,1,9
25,1,9
26,1,10
27,1,16
28,1,23
29,1,55
30,1,29
31,10,14
32,10,45
33,10,35
34,10,12
35,10,18
36,10,61
37,10,11
38,10,12
39,10,12
40,10,15
41,10,60
42,10,29
43,10,11
44,10,25
45,10,11
46,10,11
47,10,12
48,10,14
49,10,51
50,10,23
51,10,22
52,10,23
53,10,37
54,10,24
55,10,21
56,10,23
57,10,33
58,10,31
59,10,24
60,10,23
61,100,52
62,100,37
63,100,45
64,100,44
65,100,29
66,100,42
67,100,24
68,100,53
69,100,28
70,100,35
71,100,43
72,100,28
73,100,38
74,100,36
75,100,29
76,100,38
77,100,36
78,100,31
79,100,35
80,100,34
81,100,40
82,100,36
83,100,46
84,100,43
85,100,44
86,100,41
87,100,47
88,100,52
89,100,50
90,100,62
