experimento,tipo_inicializacao,tempo
1,cold,295
1,warm,66
1,hot,51
2,cold,179
2,warm,84
2,hot,49
3,cold,196
3,warm,62
3,hot,49
4,cold,240
4,warm,55
4,hot,54
5,cold,174
5,warm,70
5,hot,60
6,cold,174
6,warm,66
6,hot,58
7,cold,168
7,warm,69
7,hot,55
8,cold,170
8,warm,92
8,hot,48
9,cold,170
9,warm,66
9,hot,51
10,cold,168
10,warm,54
10,hot,57
11,cold,171
11,warm,62
11,hot,53
12,cold,173
12,warm,65
12,hot,53
13,cold,176
13,warm,60
13,hot,51
14,cold,172
14,warm,67
14,hot,59
15,cold,176
15,warm,78
15,hot,54
16,cold,166
16,warm,58
16,hot,47
17,cold,177
17,warm,63
17,hot,59
18,cold,175
18,warm,73
18,hot,57
19,cold,169
19,warm,68
19,hot,60
20,cold,166
20,warm,76
20,hot,49
21,cold,173
21,warm,67
21,hot,53
22,cold,175
22,warm,129
22,hot,52
23,cold,183
23,warm,62
23,hot,65
24,cold,161
24,warm,55
24,hot,51
25,cold,177
25,warm,59
25,hot,53
26,cold,176
26,warm,68
26,hot,49
27,cold,167
27,warm,60
27,hot,50
28,cold,173
28,warm,65
28,hot,62
29,cold,176
29,warm,63
29,hot,49
30,cold,169
30,warm,63
30,hot,49
